iteration,loss,augmented_lagrangian_loss,x_test_loss,y_test_loss
0,38140.2421875,50403.703125,20.782766342163086,43.863155364990234
1,37754.015625,57775.16796875,20.73453712463379,43.85477828979492
2,37348.9453125,64627.53125,20.68559455871582,43.850852966308594
3,36926.5078125,70826.9296875,20.636869430541992,43.85258483886719
4,36488.7578125,76254.828125,20.589248657226562,43.862640380859375
5,36037.9765625,80809.84375,20.54372215270996,43.88189697265625
6,35576.8984375,84409.7890625,20.50124740600586,43.911258697509766
7,35108.609375,86992.984375,20.4627742767334,43.952186584472656
8,34636.30078125,88518.9375,20.40900230407715,44.00514602661133
9,34163.3046875,88968.9765625,20.356704711914062,44.070255279541016
10,33693.0,88346.2265625,20.310544967651367,44.14777755737305
11,33228.8125,86675.1953125,20.27083396911621,44.23775100708008
12,32774.16796875,84001.0859375,20.23802375793457,44.34001541137695
13,32332.513671875,80388.5078125,20.212514877319336,44.45412063598633
14,31906.908203125,75919.5859375,20.194238662719727,44.57953643798828
15,31500.05859375,70692.0859375,20.183015823364258,44.715816497802734
16,31114.46875,64817.35546875,20.178857803344727,44.862274169921875
17,30752.19140625,58417.7109375,20.18149185180664,45.01830291748047
18,30414.6484375,51623.59765625,20.19057846069336,45.18260955810547
19,30102.890625,44571.1484375,20.20580291748047,45.354270935058594
20,29817.46484375,37399.2265625,20.226850509643555,45.53186798095703
21,29558.47265625,30246.697265625,20.253406524658203,45.70494842529297
22,29325.16015625,23249.23046875,20.28508186340332,45.882511138916016
23,29116.1796875,16536.91015625,20.321208953857422,46.06367111206055
24,28929.896484375,10232.0498046875,20.361324310302734,46.24735641479492
25,28764.3359375,4446.8115234375,20.405181884765625,46.432735443115234
26,28617.103515625,-718.9326171875,20.452131271362305,46.619041442871094
27,28485.466796875,-5179.30224609375,20.50155258178711,46.805171966552734
28,28366.34375,-8863.93359375,20.552980422973633,46.990787506103516
29,28256.841796875,-11718.578125,20.606040954589844,47.164615631103516
30,28153.732421875,-13706.5146484375,20.660139083862305,47.33669662475586
31,28053.890625,-14808.51171875,20.71485710144043,47.507240295410156
32,27954.369140625,-15022.9765625,20.769807815551758,47.67562484741211
33,27852.255859375,-14365.78125,20.824560165405273,47.8414306640625
34,27745.021484375,-12869.427734375,20.87888526916504,48.003173828125
35,27630.5,-10582.2861328125,20.932464599609375,48.15909194946289
36,27506.404296875,-7567.81787109375,20.985061645507812,48.3115119934082
37,27370.974609375,-3902.484130859375,21.036481857299805,48.46017837524414
38,27222.931640625,325.86376953125,21.086503982543945,48.60546112060547
39,27061.162109375,5019.63037109375,21.134559631347656,48.74683380126953
40,26885.068359375,10073.5546875,21.18119239807129,48.88471984863281
41,26694.3671875,15376.9560546875,21.22658920288086,49.01811981201172
42,26488.921875,20816.009765625,21.270267486572266,49.14813995361328
43,26269.095703125,26276.25,21.313011169433594,49.26755905151367
44,26035.478515625,31644.662109375,21.354860305786133,49.382083892822266
45,25788.9921875,36811.6640625,21.3956298828125,49.4911994934082
46,25530.865234375,41673.34375,21.43492317199707,49.590824127197266
47,25262.603515625,46133.4765625,21.4733943939209,49.68837356567383
48,24985.75390625,50105.109375,21.511194229125977,49.78052520751953
49,24702.03515625,53512.30078125,21.548494338989258,49.8707389831543
50,24413.3125,56291.4921875,21.585451126098633,49.95967102050781
51,24121.5234375,58392.53125,21.62228775024414,50.04734802246094
52,23828.673828125,59779.51171875,21.65913963317871,50.13389587402344
53,23536.654296875,60431.13671875,21.696077346801758,50.219364166259766
54,23247.396484375,60341.11328125,21.733217239379883,50.30373001098633
55,22962.84765625,59518.09375,21.770660400390625,50.3865966796875
56,22684.814453125,57985.125,21.808435440063477,50.46820068359375
57,22415.037109375,55779.15234375,21.846643447875977,50.548824310302734
58,22155.1171875,52949.98828125,21.885387420654297,50.62841033935547
59,21906.544921875,49559.234375,21.924701690673828,50.7066535949707
60,21670.47265625,45678.66796875,21.964582443237305,50.783870697021484
61,21447.7890625,41388.76171875,22.00490951538086,50.86000061035156
62,21239.28515625,36777.16015625,22.045835494995117,50.934932708740234
63,21045.541015625,31936.693359375,22.087371826171875,51.00860595703125
64,20866.634765625,26963.224609375,22.129409790039062,51.08124923706055
65,20702.626953125,21954.142578125,22.171918869018555,51.152889251708984
66,20553.279296875,17006.154296875,22.214887619018555,51.223297119140625
67,20418.125,12213.4140625,22.258197784423828,51.289222717285156
68,20296.462890625,7665.70068359375,22.30181884765625,51.35042190551758
69,20187.3671875,3446.66748046875,22.345712661743164,51.411109924316406
70,20089.6328125,-367.7801208496094,22.389814376831055,51.471317291259766
71,20002.0,-3710.695068359375,22.43407440185547,51.531070709228516
72,19923.11328125,-6525.33544921875,22.478435516357422,51.59019470214844
73,19851.474609375,-8766.2421875,22.522855758666992,51.64867401123047
74,19785.478515625,-10399.9404296875,22.567228317260742,51.70672607421875
75,19723.560546875,-11405.3310546875,22.611427307128906,51.7642936706543
76,19663.96484375,-11774.193359375,22.655376434326172,51.81975555419922
77,19605.0390625,-11510.900390625,22.699068069458008,51.87443542480469
78,19545.142578125,-10632.27734375,22.742355346679688,51.92850112915039
79,19482.716796875,-9167.05078125,22.785255432128906,51.9818229675293
80,19416.232421875,-7155.1845703125,22.82768440246582,52.034481048583984
81,19344.33984375,-4646.82421875,22.86957550048828,52.08635330200195
82,19265.845703125,-1701.185791015625,22.907466888427734,52.13731384277344
83,19179.671875,1614.68115234375,22.9337215423584,52.18723678588867
84,19084.9375,5227.3837890625,22.96014404296875,52.23596954345703
85,18980.875,9058.6484375,22.98668670654297,52.28337097167969
86,18866.966796875,13027.0615234375,23.01331329345703,52.329315185546875
87,18742.89453125,17049.67578125,23.040000915527344,52.37364959716797
88,18608.51953125,21043.689453125,23.06663703918457,52.41633987426758
89,18463.890625,24928.078125,23.093231201171875,52.457298278808594
90,18309.3359375,28625.2578125,23.119770050048828,52.496334075927734
91,18145.38671875,32062.53125,23.146188735961914,52.5333366394043
92,17972.767578125,35173.47265625,23.172428131103516,52.5684700012207
93,17792.310546875,37899.08984375,23.198427200317383,52.60170364379883
94,17605.076171875,40189.0234375,23.22411346435547,52.63291549682617
95,17412.302734375,42002.4296875,23.249414443969727,52.66218948364258
96,17215.421875,43308.65234375,23.274269104003906,52.68976593017578
97,17015.869140625,44087.55859375,23.29856300354004,52.71558380126953
98,16815.212890625,44329.8984375,23.32219123840332,52.739742279052734
99,16615.08203125,44037.33203125,23.345083236694336,52.76233673095703
100,16417.134765625,43222.1875,23.36716079711914,52.783477783203125
101,16222.9638671875,41906.984375,23.388347625732422,52.80327606201172
102,16034.14453125,40123.89453125,23.408588409423828,52.82176971435547
103,15852.1494140625,37913.90625,23.427852630615234,52.83900833129883
104,15678.322265625,35325.8203125,23.446123123168945,52.855133056640625
105,15513.84765625,32415.15234375,23.463394165039062,52.87025451660156
106,15359.7060546875,29242.876953125,23.479673385620117,52.88447952270508
107,15216.6572265625,25874.107421875,23.494991302490234,52.897918701171875
108,15085.20703125,22376.70703125,23.509374618530273,52.910614013671875
109,14965.5986328125,18819.876953125,23.52288055419922,52.922637939453125
110,14857.8056640625,15272.75,23.535573959350586,52.93406295776367
111,14761.5390625,11803.021484375,23.547508239746094,52.944976806640625
112,14676.2626953125,8475.6376953125,23.558748245239258,52.955448150634766
113,14601.203125,5351.56298828125,23.569355010986328,52.965538024902344
114,14535.3818359375,2486.65673828125,23.578168869018555,52.97529983520508
115,14477.65234375,-69.31735229492188,23.585132598876953,52.984771728515625
116,14426.7255859375,-2273.5595703125,23.590660095214844,52.993995666503906
117,14381.224609375,-4090.921142578125,23.595081329345703,53.002986907958984
118,14339.7099609375,-5494.4560546875,23.59865379333496,53.01176071166992
119,14300.7314453125,-6465.79638671875,23.601573944091797,53.020320892333984
120,14262.8564453125,-6995.35205078125,23.60399627685547,53.02867126464844
121,14224.69921875,-7082.3623046875,23.606033325195312,53.036800384521484
122,14184.962890625,-6734.732421875,23.60776710510254,53.04470443725586
123,14142.45703125,-5968.755859375,23.609256744384766,53.0523567199707
124,14096.1171875,-4808.66943359375,23.61054039001465,53.05974578857422
125,14045.0234375,-3286.02734375,23.61164665222168,53.06684494018555
126,13988.4130859375,-1439.006103515625,23.612590789794922,53.07363510131836
127,13925.6748046875,688.4490966796875,23.61337661743164,53.07992935180664
128,13856.384765625,3047.585205078125,23.614011764526367,53.085689544677734
129,13780.2763671875,5585.83935546875,23.614492416381836,53.09091567993164
130,13697.2412109375,8247.93359375,23.61482048034668,53.09561538696289
131,13607.3037109375,10976.97265625,23.614992141723633,53.09977722167969
132,13510.62890625,13715.5869140625,23.615001678466797,53.1034049987793
133,13407.5283203125,16407.107421875,23.61485481262207,53.10650634765625
134,13298.4521484375,18996.650390625,23.61454963684082,53.10908126831055
135,13183.9697265625,21432.173828125,23.61408805847168,53.111148834228516
136,13064.75,23665.44140625,23.613479614257812,53.112701416015625
137,12941.5302734375,25652.91796875,23.612728118896484,53.113765716552734
138,12815.1171875,27356.578125,23.611846923828125,53.114356994628906
139,12686.3642578125,28744.576171875,23.610849380493164,53.114498138427734
140,12556.1552734375,29791.794921875,23.6097469329834,53.11420822143555
141,12425.3974609375,30480.25390625,23.608558654785156,53.11351776123047
142,12294.9931640625,30799.365234375,23.607301712036133,53.112457275390625
143,12165.837890625,30746.048828125,23.605995178222656,53.111061096191406
144,12038.7919921875,30324.681640625,23.604663848876953,53.10935592651367
145,11914.6787109375,29546.92578125,23.60332679748535,53.107391357421875
146,11794.2646484375,28431.3828125,23.602008819580078,53.10519790649414
147,11678.24609375,27003.142578125,23.60072898864746,53.10281753540039
148,11567.248046875,25293.20703125,23.599512100219727,53.10028839111328
149,11461.7978515625,23337.75390625,23.598377227783203,53.097660064697266
150,11362.333984375,21177.404296875,23.59734535217285,53.0949592590332
151,11269.193359375,18856.306640625,23.5964298248291,53.09223556518555
152,11182.60546875,16421.251953125,23.595651626586914,53.08952331542969
153,11102.689453125,13920.6689453125,23.59501838684082,53.08686447143555
154,11029.4521484375,11403.66796875,23.594545364379883,53.084293365478516
155,10962.802734375,8919.0556640625,23.594236373901367,53.081844329833984
156,10902.5322265625,6514.34423828125,23.594097137451172,53.07954788208008
157,10848.3349609375,4234.85107421875,23.594125747680664,53.077430725097656
158,10799.8154296875,2122.820556640625,23.594324111938477,53.07551574707031
159,10756.4873046875,216.62074279785156,23.594684600830078,53.073814392089844
160,10717.787109375,-1449.965087890625,23.595197677612305,53.07234573364258
161,10683.0830078125,-2848.341796875,23.595855712890625,53.07111740112305
162,10651.6904296875,-3955.6103515625,23.596637725830078,53.070133209228516
163,10622.8828125,-4754.9296875,23.5975284576416,53.069393157958984
164,10595.8994140625,-5235.79052734375,23.598508834838867,53.06889343261719
165,10569.9638671875,-5394.12841796875,23.599559783935547,53.06862258911133
166,10544.29296875,-5232.3193359375,23.60065460205078,53.06857681274414
167,10518.1123046875,-4759.05517578125,23.60177230834961,53.06873321533203
168,10490.6728515625,-3989.06201171875,23.602888107299805,53.06907653808594
169,10461.24609375,-2942.770751953125,23.603979110717773,53.069580078125
170,10429.154296875,-1645.7958984375,23.60502052307129,53.070220947265625
171,10393.7900390625,-128.3572998046875,23.605995178222656,53.07096862792969
172,10354.5869140625,1575.3428955078125,23.606876373291016,53.07179641723633
173,10311.0693359375,3427.89794921875,23.60765266418457,53.07267761230469
174,10262.8505859375,5389.4736328125,23.608301162719727,53.073577880859375
175,10209.6083984375,7418.59912109375,23.60881233215332,53.07447814941406
176,10151.125,9473.05859375,23.609174728393555,53.075347900390625
177,10087.298828125,11510.771484375,23.6093807220459,53.0761604309082
178,10018.1416015625,13490.6005859375,23.609424591064453,53.076904296875
179,9943.7646484375,15373.1513671875,23.609304428100586,53.07756042480469
180,9864.3818359375,17121.53515625,23.609024047851562,53.0781135559082
181,9780.314453125,18702.0859375,23.608583450317383,53.07856369018555
182,9691.9853515625,20085.0,23.607990264892578,53.07889175415039
183,9599.912109375,21244.85546875,23.607255935668945,53.0791015625
184,9504.69921875,22161.08203125,23.606388092041016,53.079200744628906
185,9407.033203125,22818.29296875,23.60540199279785,53.079193115234375
186,9307.6611328125,23206.515625,23.60431480407715,53.07908248901367
187,9207.3837890625,23321.314453125,23.60314178466797,53.07888412475586
188,9107.0361328125,23163.79296875,23.601900100708008,53.078609466552734
189,9007.46875,22740.46875,23.600610733032227,53.078285217285156
190,8909.5302734375,22063.078125,23.59929656982422,53.07791519165039
191,8814.044921875,21148.220703125,23.597970962524414,53.0775260925293
192,8721.7880859375,20016.958984375,23.596660614013672,53.0771369934082
193,8633.4755859375,18694.3046875,23.595382690429688,53.0767707824707
194,8549.734375,17208.650390625,23.59415626525879,53.07644271850586
195,8471.0849609375,15591.1220703125,23.593000411987305,53.076175689697266
196,8397.935546875,13874.912109375,23.591930389404297,53.075984954833984
197,8330.55859375,12094.56640625,23.59096336364746,53.075889587402344
198,8269.0927734375,10285.2685546875,23.590110778808594,53.075904846191406
199,8213.5341796875,8482.1240234375,23.58938217163086,53.07604217529297
200,8163.7392578125,6719.47021484375,23.588790893554688,53.07630920410156
201,8119.4365234375,5030.205078125,23.588335037231445,53.07671356201172
202,8080.22900390625,3445.1708984375,23.588022232055664,53.0772705078125
203,8045.6171875,1992.5909423828125,23.587852478027344,53.077972412109375
204,8015.009765625,697.5623779296875,23.58782196044922,53.07882308959961
205,7987.74951171875,-418.36328125,23.587923049926758,53.07981491088867
206,7963.1298828125,-1337.539306640625,23.588151931762695,53.0809440612793
207,7940.4169921875,-2046.4891357421875,23.588497161865234,53.082191467285156
208,7918.8720703125,-2536.093017578125,23.588943481445312,53.083553314208984
209,7897.7685546875,-2801.68310546875,23.589475631713867,53.08500671386719
210,7876.41015625,-2843.05908203125,23.5900821685791,53.0865364074707
211,7854.146484375,-2664.414794921875,23.590740203857422,53.08811569213867
212,7830.3857421875,-2274.1826171875,23.591432571411133,53.08972930908203
213,7804.60546875,-1684.796875,23.592144012451172,53.09135055541992
214,7776.3583984375,-912.39697265625,23.592853546142578,53.092952728271484
215,7745.27978515625,23.5460205078125,23.593542098999023,53.09450912475586
216,7711.0908203125,1100.6671142578125,23.594196319580078,53.09599685668945
217,7673.60009765625,2294.170654296875,23.594797134399414,53.09739685058594
218,7632.69384765625,3577.353759765625,23.5953311920166,53.09867477416992
219,7588.35546875,4922.18359375,23.59578514099121,53.09981155395508
220,7540.63427734375,6299.826171875,23.59615135192871,53.10078811645508
221,7489.638671875,7681.2109375,23.596420288085938,53.101593017578125
222,7435.54296875,9037.6318359375,23.59658432006836,53.102203369140625
223,7378.591796875,10341.3203125,23.59664535522461,53.10261154174805
224,7319.091796875,11565.9638671875,23.59659767150879,53.10280227661133
225,7257.396484375,12687.2001953125,23.596445083618164,53.102779388427734
226,7193.89404296875,13683.0615234375,23.596193313598633,53.102535247802734
227,7128.99658203125,14534.3818359375,23.59584617614746,53.10207748413086
228,7063.1357421875,15225.1328125,23.595413208007812,53.101402282714844
229,6996.75341796875,15742.703125,23.59490203857422,53.10051727294922
230,6930.30029296875,16078.1123046875,23.59432601928711,53.09944152832031
231,6864.2177734375,16226.1181640625,23.593700408935547,53.098182678222656
232,6798.93798828125,16185.294921875,23.593032836914062,53.096763610839844
233,6734.876953125,15958.0,23.592344284057617,53.09518814086914
234,6672.42431640625,15550.275390625,23.591646194458008,53.09349060058594
235,6611.94189453125,14971.6962890625,23.59095573425293,53.09169006347656
236,6553.75341796875,14235.1103515625,23.590286254882812,53.089805603027344
237,6498.14453125,13356.3662109375,23.58965492248535,53.08784866333008
238,6445.3583984375,12353.9462890625,23.589075088500977,53.08583450317383
239,6395.59033203125,11248.5693359375,23.588558197021484,53.08382034301758
240,6348.98681640625,10062.7451171875,23.588117599487305,53.081825256347656
241,6305.64404296875,8820.3193359375,23.58776092529297,53.07987594604492
242,6265.60693359375,7545.9638671875,23.58750343322754,53.07798767089844
243,6228.869140625,6264.68896484375,23.587343215942383,53.07619094848633
244,6195.37255859375,5001.337890625,23.587291717529297,53.07449722290039
245,6165.01220703125,3780.093994140625,23.58734893798828,53.07292938232422
246,6137.6337890625,2624.0087890625,23.587512969970703,53.071495056152344
247,6113.0380859375,1554.55810546875,23.587785720825195,53.070213317871094
248,6090.98876953125,591.2383422851562,23.58816146850586,53.0690803527832
249,6071.2080078125,-248.8040008544922,23.588634490966797,53.06810760498047
250,6053.390625,-951.0756225585938,23.58919334411621,53.06729507446289
251,6037.19921875,-1503.996337890625,23.589834213256836,53.066646575927734
252,6022.27783203125,-1899.0897216796875,23.590539932250977,53.066158294677734
253,6008.25439453125,-2131.11279296875,23.59130096435547,53.065826416015625
254,5994.744140625,-2198.121826171875,23.592100143432617,53.065643310546875
255,5981.35791015625,-2101.4716796875,23.592924118041992,53.065589904785156
256,5967.7099609375,-1845.73486328125,23.5937557220459,53.06566619873047
257,5953.4228515625,-1438.58154296875,23.59458351135254,53.06584930419922
258,5938.1328125,-890.58154296875,23.595388412475586,53.066123962402344
259,5921.49462890625,-214.96099853515625,23.596155166625977,53.06647872924805
260,5903.19189453125,572.702392578125,23.59687042236328,53.066890716552734
261,5882.9384765625,1454.8160400390625,23.59752082824707,53.06734085083008
262,5860.47802734375,2412.142333984375,23.598093032836914,53.06781005859375
263,5835.59814453125,3424.21728515625,23.59857940673828,53.06828689575195
264,5808.13720703125,4469.775390625,23.598970413208008,53.06875228881836
265,5777.97265625,5527.17041015625,23.59925651550293,53.069190979003906
